#,LSC,EC,St#,Street Name,Abbr,Dir,Municipality,Community,List Price,Sold Price,Type,Style,Br," ""+""",Wr,Fam,Kit,Garage Type,A/C,Heat,Contract Date,Sold Date,List Brokerage,Co op Brokerage,MLS#
1,Sld,,38,Scarsdale,Crt,,Brampton,Bram West,"$5,99,000","$6,81,000",Att/Row/Tw,2-Storey,3,0,2,N,1,Built-,Cen,Gas,16-03-2021,23-03-2021,RE/MAX WEST,RE/MAX REALTY,W5153139
2,Sld,,55,Corby,Cres,,Brampton,Bram West,"$5,99,900","$7,67,000",Semi-Detac,Bungalow,3,1,2,N,1,None,Cen,Oil,23-02-2021,26-02-2021,RE/MAX REAL,HOMELIFE/MIRA,W5125388
3,Sld,,7,Manett,Cres,,Brampton,Bram West,"$6,99,000","$8,18,500",Att/Row/Tw,2-Storey,3,1,3,N,1,Attach,Cen,Gas,21-01-2021,26-01-2021,RE/MAX REAL,HOMELIFE/MIRA,W5091089
4,Sld,,76,Fairglen,Ave,,Brampton,Bram West,"$6,99,500","$7,26,000",Semi-Detac,Bungalow,2,1,2,N,1,None,Cen,Gas,16-03-2021,17-03-2021,"EXP REALTY,",ROYALSTARRE,W5153813
5,Sld,,121,Richwood,Cres,,Brampton,Bram West,"$6,99,900","$7,31,000",Att/Row/Tw,2-Storey,3,0,3,N,1,Built-,Cen,Gas,21-02-2021,26-02-2021,RE/MAX REAL,ROYAL LEPAGE,W5123258
6,Sld,N,56,Spadina,Rd,,Brampton,Bram West,"$6,99,900","$7,11,000",Att/Row/Tw,2-Storey,3,0,2,N,1,Built-,Cen,Gas,09-03-2021,29-03-2021,IPRO REALTY,HOMELIFE/MIRA,W5143468
7,Sld,,10,Ridler,Crt,,Brampton,Bram West,"$6,99,900","$7,75,000",Semi-Detac,2-Storey,3,1,2,N,1,Attach,Cen,Gas,20-04-2021,22-04-2021,HOMELIFE MA,RE/MAX REALTY,W5201812
8,Sld,,8,Ridler,Crt,,Brampton,Bram West,"$6,99,999","$7,80,000",Detached,2-Storey,3,0,2,N,1,Attach,Cen,Gas,21-02-2021,27-02-2021,IPRO REALTY,HOMELIFE/MIRA,W5122690
9,Sld,,19,Murray,St,,Brampton,Bram West,"$7,29,000","$7,24,000",Detached,1 1/2 Stor,2,1,2,N,1,None,Cen,Gas,24-01-2021,02-02-2021,CENTURY 21,ROYAL LEPAGE,W5093449
10,Sld,,107,Royal Vist,Rd,,Brampton,Bram West,"$7,49,000","$8,58,000",Att/Row/Tw,2-Storey,3,1,4,N,1,Built-,Cen,Gas,14-01-2021,18-01-2021,HOMELIFE/MI,ROYAL LEPAGE,W5084970
11,Sld,,94,Ecclestone,Dr,,Brampton,Bram West,"$7,49,000","$8,20,000",Detached,2-Storey,3,0,2,N,1,Attach,Cen,Gas,06-03-2021,07-03-2021,CENTURY 21,HOMELIFE MAPL,W5141069
12,Sld,,8,Slater,Circ,,Brampton,Bram West,"$7,49,000","$8,80,000",Detached,Backsplit,3,1,3,y,1,Attach,Cen,Gas,22-04-2021,26-04-2021,HOMELIFE SI,CENTURY 21 LE,W5205729
13,Sld,,21,Merrickvil,Way,,Brampton,Bram West,"$7,50,000","$9,30,000",Att/Row/Tw,2-Storey,4,0,4,y,1,Built-,Cen,Gas,18-03-2021,25-03-2021,PROPERTY MA,SUTTON GROUP,W5157476
14,Sld,,53,Royal Orch,Dr,,Brampton,Bram West,"$7,52,500","$8,25,000",Detached,Bungalow,2,2,2,N,1,Attach,Cen,Gas,11-03-2021,25-03-2021,IPRO REALTY,RE/MAX GOLD R,W5147651
15,Sld,,34,Pefferlaw,Circ,,Brampton,Bram West,"$7,69,500","$8,65,000",Att/Row/Tw,2-Storey,3,1,4,N,1,Built-,Cen,Gas,13-01-2021,14-01-2021,RE/MAX GOLD,HOMELIFE/MIRA,W5083558
