#,LSC,EC,St#,Street Name,Abbr,Dir,Municipality,Community, List Price , Sold Price ,Type,Style,Br,Additional,Wr,Fam,Kit,Garage Type,A/C,Heat,Contract Date,Sold Date,List Brokerage,Co op Brokerage,MLS#
1,Sld,,38,Scarsdale,Crt,,Brampton,Brampton W," $599,000 "," $681,000 ",Att/Row/Tw,2-Storey,3,0,2,N,1,Built-,Cen,Gas,3-16-21,3-23-21,RE/MAX WEST,RE/MAX REALTY,W5153139
2,Sld,,55,Corby,Cres,,Brampton,Brampton W," $599,900 "," $767,000 ",Semi-Detac,Bungalow,3,1,2,N,1,None,Cen,Oil,2-23-21,2-26-21,RE/MAX REAL,HOMELIFE/MIRA,W5125388
3,Sld,,7,Manett,Cres,,Brampton,Brampton W," $699,000 "," $818,500 ",Att/Row/Tw,2-Storey,3,1,3,N,1,Attach,Cen,Gas,1-21-21,1-26-21,RE/MAX REAL,HOMELIFE/MIRA,W5091089
4,Sld,,76,Fairglen,Ave,,Brampton,Brampton W," $699,500 "," $726,000 ",Semi-Detac,Bungalow,2,1,2,N,1,None,Cen,Gas,3-16-21,3-17-21,"EXP REALTY,",ROYALSTARRE,W5153813
5,Sld,,121,Richwood,Cres,,Brampton,Brampton W," $699,900 "," $731,000 ",Att/Row/Tw,2-Storey,3,0,3,N,1,Built-,Cen,Gas,2-21-21,2-26-21,RE/MAX REAL,ROYAL LEPAGE,W5123258
6,Sld,N,56,Spadina,Rd,,Brampton,Brampton W," $699,900 "," $711,000 ",Att/Row/Tw,2-Storey,3,0,2,N,1,Built-,Cen,Gas,3-9-21,3-29-21,IPRO REALTY,HOMELIFE/MIRA,W5143468
7,Sld,,10,Ridler,Crt,,Brampton,Brampton W," $699,900 "," $775,000 ",Semi-Detac,2-Storey,3,1,2,N,1,Attach,Cen,Gas,4-20-21,4-22-21,HOMELIFE MA,RE/MAX REALTY,W5201812
8,Sld,,8,Ridler,Crt,,Brampton,Brampton W," $699,999 "," $780,000 ",Detached,2-Storey,3,0,2,N,1,Attach,Cen,Gas,2-21-21,2-27-21,IPRO REALTY,HOMELIFE/MIRA,W5122690
9,Sld,,19,Murray,St,,Brampton,Brampton W," $729,000 "," $724,000 ",Detached,1 1/2 Stor,2,1,2,N,1,None,Cen,Gas,1-24-21,2-2-21,CENTURY 21,ROYAL LEPAGE,W5093449
10,Sld,,107,Royal Vist,Rd,,Brampton,Brampton W," $749,000 "," $858,000 ",Att/Row/Tw,2-Storey,3,1,4,N,1,Built-,Cen,Gas,1-14-21,1-18-21,HOMELIFE/MI,ROYAL LEPAGE,W5084970
11,Sld,,94,Ecclestone,Dr,,Brampton,Brampton W," $749,000 "," $820,000 ",Detached,2-Storey,3,0,2,N,1,Attach,Cen,Gas,3-6-21,3-7-21,CENTURY 21,HOMELIFE MAPL,W5141069
12,Sld,,8,Slater,Circ,,Brampton,Brampton W," $749,000 "," $880,000 ",Detached,Backsplit,3,1,3,y,1,Attach,Cen,Gas,4-22-21,4-26-21,HOMELIFE SI,CENTURY 21 LE,W5205729
13,Sld,,21,Merrickvil,Way,,Brampton,Brampton W," $750,000 "," $930,000 ",Att/Row/Tw,2-Storey,4,0,4,y,1,Built-,Cen,Gas,3-18-21,3-25-21,PROPERTY MA,SUTTON GROUP,W5157476
14,Sld,,53,Royal Orch,Dr,,Brampton,Brampton W," $752,500 "," $825,000 ",Detached,Bungalow,2,2,2,N,1,Attach,Cen,Gas,3-11-21,3-25-21,IPRO REALTY,RE/MAX GOLD R,W5147651
15,Sld,,34,Pefferlaw,Circ,,Brampton,Brampton W," $769,500 "," $865,000 ",Att/Row/Tw,2-Storey,3,1,4,N,1,Built-,Cen,Gas,1-13-21,1-14-21,RE/MAX GOLD,HOMELIFE/MIRA,W5083558
16,Sld,,159,Saddletree,Tr,,Brampton,Brampton W," $777,000 "," $890,000 ",Semi-Detac,2-Storey,3,0,4,y,1,Attach,Cen,Gas,3-17-21,3-24-21,ROYAL LEPAG,RE/MAX MILLEN,W5154975
17,Sld,,19,October,Pl,,Brampton,Brampton W," $779,000 "," $844,000 ",Att/Row/Tw,3-Storey,3,1,4,N,1,Built-,Cen,Gas,2-10-21,2-11-21,IPRO REALTY,HOMELIFE MAPL,W5110391
18,Sld,N,47,Arizona,Dr,,Brampton,Brampton W," $785,000 "," $815,000 ",Att/Row/Tw,3-Storey,3,1,4,N,1,Built-,Cen,Gas,1-31-21,2-19-21,RE/MAX GOLD,CENTURY 21 EM,W5106025
19,Sld,,27,Banner,Rd,,Brampton,Brampton W," $789,000 "," $870,000 ",Detached,2-Storey,3,1,4,y,1,Attach,Cen,Gas,4-7-21,4-12-21,RE/MAX REAL,SAVE MAX FIRS,W5185347
20,Sld,,39,October,Pl,,Brampton,Brampton W," $799,000 "," $800,000 ",Att/Row/Tw,3-Storey,3,1,4,N,1,Attach,Cen,Gas,1-28-21,2-13-21,SAVE MAX Fl,RE/MAX REALE,W5099792
21,Sld,,11,Berringer,Grve,,Brampton,Brampton W," $799,000 "," $836,000 ",Att/Row/Tw,3-Storey,3,1,4,y,1,Built-,Cen,Gas,2-1-21,2-8-21,HOMELIFE/MI,"EXP REALTY, B",W5100730
