#,lsc,ec,st_nr,street_name ,abbr,dir,muncipality,community,list_price,sold_price,type,style,br,addi,wr,fam,kit,garage_type,a/c,heat,contract,sold,list_brokerage,co_op brokerage,mls,,
1,Sld,,45,Newlyn,Cres,,Brampton,Brampton N ,"$599,999","$768,100",Semi-Detac,3-Storey,3,0,2,N,1,Attach  ,Cen,Gas,17-02-2021,22-02-2021,ROYALLEPAG,CENTURY21 PA,W5117947,,
2,Sld,,68,Pressed Br,Dr,,Brampton,Brampton N ,"$600,000","$700,000",Att/Row/Tw,2-Storey,2,0,2,y,1,None   ,Cen,Gas,29-03-2021,06-04-2021,RE/MAX TWIN,"EXP REALTY, B",W5173042,,
3,Sld,,66,Merton,Rd,,Brampton,Brampton N,"$649,000","$755,400",Semi-Detac,2-Storey,3,0,4,N,1,Attach  ,Cen,Gas,18-02-2021,22-02-2021,RE/MAX GROS,HOMELIFE 247,W5119097,,
4,Sld,,30,Horne,Dr,,Brampton,Brampton N ,"$649,000","$806,000",Semi-Detac,Backsplit,4,0,3,N,1,Attach  ,Cen,Gas,26-02-2021,28-02-2021,ROYAL STAR,CENTURY 21 PE,W5129398,,
5,Sld,,19,Pressed Br,Dr,,Brampton,Brampton N  ,"$649,900","$765,000",Att/Row/Tw,2-Storey,3,1,3,N,1,None  ,Cen,Gas,24-02-2021,01-03-2021,IPRO REALTY,"EXP REALTY, B",W5126853,,
6,Sld,,19,Hinchley W,Grve,,Brampton,Brampton N  ,"$650,000","$730,000",Semi-Detac,Backsplit,3,0,2,y,1,Attach  ,Cen,Gas,08-04-2021,14-04-2021,ROYAL LEPAG,SAVE MAX FIRS,W5186491,,
7,Sld,,45,Carter,Dr,,Brampton,Brampton N,"$679,900","$725,000",Semi-Detac,Backsplit,3,1,2,y,1,Built-   ,Cen,Gas,19-02-2021,21-02-2021,RE/MAX WEST,RE/MAX REALTY,W5121407,,
8,Sld,,25,Newlyn,Cres,,Brampton,Brampton N  ,"$689,000","$785,000",Semi-Detac,2-Storey,3,0,2,y,1,Built-   ,Cen,Gas,03-02-2021,09-02-2021,CENTURY 21,RE/MAX REALTY,W5103718,,
9,Sld,,27,Newlyn,Cres,,Brampton,Brampton N ,"$689,900","$785,000",Semi-Detac,2-Storey,3,0,2,N,1,Built-   ,Cen,Gas,02-03-2021,06-03-2021,ROYAL LEPAG,KELLER WILLIA,W5133409,,
10,Sld,,97,Post,Rd,,Brampton,Brampton N  ,"$699,000","$775,000",Semi-Detac,Backsplit,2,2,2,N,1,Detach ,Cen,Gas,01-02-2021,06-02-2021,CENTURY 21,RE/MAX REALTR,W5100689,,
